序號,答案
20240430101001,999.31
20240430102001,1375.12
20240430103001,1424.06
20240430104001,1444.63
20240430105001,1407.89
20240430110001,1471.74
20240430111001,1502.86
20240430112001,1531.14
20240430113001,1531.55
20240430114001,1527.72
20240430115001,1494.61
20240430120001,782.5
20240430121001,1221.37
20240430122001,874.57
20240430123001,1454.16
20240430124001,1442.24
20240430125001,715.19
20240430130001,923.32
20240430131001,651.75
20240430132001,1151.55
20240430133001,1321.94
20240430134001,1195.57
20240430135001,1042.26
20240430140001,1007.17
20240430141001,756.83
20240430142001,412.12
20240430143001,267.85
20240430144001,245.2
20240430145001,366.48
20240430150001,138.83
20240430151001,37.03
20240430152001,63.19
20240430153001,35.74
20240430154001,19.71
20240430155001,7.19
20240430160001,5.67
20240430161001,1.8
20240430162001,1.12
20240430163001,3.39
20240430164001,2.47
20240430165001,2.71
20240515090001,804.49
20240515091001,838.59
20240515092001,1007.48
20240515093001,1069.1
20240515094001,1095.94
20240515095001,971.79
20240515100001,904.91
20240515101001,882.43
20240515102001,808.78
20240515103001,735.87
20240515104001,874.74
20240515105001,1087.64
20240515110001,1373.1
20240515111001,1128.12
20240515112001,1376.49
20240515113001,1317.55
20240515114001,1356.4
20240515115001,1215.64
20240515120001,1151.48
20240515121001,1323.47
20240515122001,1387.79
20240515123001,1446.09
20240515124001,1182.13
20240515125001,1349.08
20240515130001,1342.06
20240515131001,1378.92
20240515132001,1260.86
20240515133001,961.26
20240515134001,507.26
20240515135001,707.27
20240515140001,406.69
20240515141001,198.83
20240515142001,153.31
20240515143001,129.29
20240515144001,102.09
20240515145001,82.48
20240515150001,96.95
20240515151001,53.6
20240515152001,43.58
20240515153001,34.3
20240515154001,19.64
20240515155001,26.6
20240515160001,26.34
20240515161001,21.27
20240515162001,16.85
20240515163001,9.58
20240515164001,7.46
20240515165001,6.69
20240520090001,411.78
20240520091001,400.61
20240520092001,339.25
20240520093001,293.6
20240520094001,184.46
20240520095001,145.05
20240520100001,162.36
20240520101001,164.95
20240520102001,160.49
20240520103001,194.1
20240520104001,249.37
20240520105001,287.75
20240520110001,286.4
20240520111001,266.96
20240520112001,225.71
20240520113001,192.44
20240520114001,171.25
20240520115001,222.98
20240520120001,367.22
20240520121001,280.33
20240520122001,206.15
20240520123001,126.76
20240520124001,161.02
20240520125001,203.81
20240520130001,190.62
20240520131001,114.52
20240520132001,75.98
20240520133001,50.94
20240520134001,47.56
20240520135001,68.5
20240520140001,73.27
20240520141001,70.65
20240520142001,60.53
20240520143001,84.21
20240520144001,133.95
20240520145001,138.99
20240520150001,149.34
20240520151001,123.0
20240520152001,95.26
20240520153001,60.56
20240520154001,38.63
20240520155001,35.88
20240520160001,33.45
20240520161001,30.56
20240520162001,30.88
20240520163001,29.39
20240520164001,21.9
20240520165001,16.41
20240613090001,25.83
20240613091001,41.88
20240613092001,80.91
20240613093001,137.23
20240613094001,151.4
20240613095001,150.39
20240613100001,201.14
20240613101001,273.88
20240613102001,540.88
20240613103001,549.48
20240613104001,361.36
20240613105001,321.43
20240613110001,525.3
20240613111001,537.75
20240613112001,727.56
20240613113001,1103.94
20240613114001,1206.71
20240613115001,1232.63
20240613120001,1042.46
20240613121001,1066.72
20240613122001,768.2
20240613123001,962.84
20240613124001,652.77
20240613125001,479.56
20240613130001,1033.18
20240613131001,956.59
20240613132001,813.73
20240613133001,158.53
20240613134001,691.11
20240613135001,852.92
20240613140001,364.86
20240613141001,241.09
20240613142001,475.24
20240613143001,53.98
20240613144001,42.06
20240613145001,35.29
20240613150001,36.9
20240613151001,37.44
20240613152001,43.14
20240613153001,45.27
20240613154001,71.53
20240613155001,139.08
20240613160001,107.68
20240613161001,42.78
20240613162001,30.16
20240613163001,25.6
20240613164001,20.87
20240613165001,2.93
20240615090001,795.74
20240615091001,892.91
20240615092001,922.44
20240615093001,991.72
20240615094001,1010.63
20240615095001,1087.34
20240615100001,1058.83
20240615101001,1183.12
20240615102001,711.67
20240615103001,822.48
20240615104001,329.29
20240615105001,469.25
20240615110001,1073.29
20240615111001,1084.24
20240615112001,1192.82
20240615113001,1209.26
20240615114001,1064.62
20240615115001,1071.89
20240615120001,1057.53
20240615121001,981.0
20240615122001,886.63
20240615123001,855.41
20240615124001,1051.06
20240615125001,1115.85
20240615130001,872.0
20240615131001,829.47
20240615132001,611.06
20240615133001,629.91
20240615134001,701.16
20240615135001,661.48
20240615140001,298.37
20240615141001,700.66
20240615142001,453.74
20240615143001,232.58
20240615144001,426.24
20240615145001,326.0
20240615150001,298.93
20240615151001,257.41
20240615152001,224.33
20240615153001,158.86
20240615154001,135.09
20240615155001,64.68
20240615160001,59.75
20240615161001,47.54
20240615162001,35.68
20240615163001,14.67
20240615164001,18.06
20240615165001,7.0
20240703090001,272.95
20240703091001,754.39
20240703092001,849.75
20240703093001,924.16
20240703094001,965.65
20240703095001,605.09
20240703100001,221.64
20240703101001,253.71
20240703102001,426.65
20240703103001,719.44
20240703104001,1201.88
20240703105001,1171.04
20240703110001,1168.43
20240703111001,1189.38
20240703112001,1007.04
20240703113001,1257.61
20240703114001,1231.36
20240703115001,1213.1
20240703120001,1247.63
20240703121001,1211.86
20240703122001,1176.13
20240703123001,1209.04
20240703124001,1157.17
20240703125001,1144.98
20240703130001,1133.97
20240703131001,1043.51
20240703132001,959.01
20240703133001,895.57
20240703134001,846.06
20240703135001,790.31
20240703140001,702.19
20240703141001,624.06
20240703142001,594.66
20240703143001,540.28
20240703144001,506.23
20240703145001,431.39
20240703150001,357.49
20240703151001,324.28
20240703152001,285.77
20240703153001,230.7
20240703154001,181.11
20240703155001,9.32
20240703160001,57.43
20240703161001,21.79
20240703162001,19.39
20240703163001,5.8
20240703164001,10.91
20240703165001,7.48
20240707090001,674.42
20240707091001,741.21
20240707092001,818.24
20240707093001,902.95
20240707094001,940.01
20240707095001,1014.35
20240707100001,1022.0
20240707101001,1068.01
20240707102001,1138.02
20240707103001,1054.67
20240707104001,1175.65
20240707105001,1113.54
20240707110001,754.33
20240707111001,1123.36
20240707112001,1260.05
20240707113001,1265.38
20240707114001,1257.54
20240707115001,1256.54
20240707120001,1238.75
20240707121001,1209.73
20240707122001,1222.96
20240707123001,1214.64
20240707124001,1196.38
20240707125001,1176.69
20240707130001,1161.02
20240707131001,1098.17
20240707132001,1045.69
20240707133001,980.49
20240707134001,926.55
20240707135001,879.88
20240707140001,824.21
20240707141001,751.67
20240707142001,640.44
20240707143001,601.99
20240707144001,565.79
20240707145001,585.25
20240707150001,531.86
20240707151001,464.85
20240707152001,170.54
20240707153001,87.98
20240707154001,38.44
20240707155001,142.84
20240707160001,39.22
20240707161001,72.01
20240707162001,28.54
20240707163001,37.42
20240707164001,2.32
20240707165001,0.39
20240125090002,19.68
20240125091002,19.52
20240125092002,20.86
20240125093002,26.04
20240125094002,25.12
20240125095002,13.11
20240125100002,12.08
20240125101002,11.26
20240125102002,13.34
20240125103002,17.05
20240125104002,17.79
20240125105002,33.66
20240125110002,46.98
20240125111002,65.81
20240125112002,116.66
20240125113002,160.9
20240125114002,195.29
20240125115002,248.06
20240125120002,220.72
20240125121002,223.51
20240125122002,86.19
20240125123002,73.25
20240125124002,41.29
20240125125002,33.54
20240125130002,20.83
20240125131002,20.44
20240125132002,19.36
20240125133002,30.45
20240125134002,23.44
20240125135002,15.42
20240125140002,10.73
20240125141002,7.5
20240125142002,6.34
20240125143002,5.64
20240125144002,4.29
20240125145002,1.73
20240125150002,1.22
20240125151002,0.4
20240125152002,0.01
20240125153002,0.0
20240125154002,0.0
20240125155002,0.0
20240125160002,0.0
20240125161002,0.0
20240125162002,0.0
20240125163002,0.0
20240125164002,0.0
20240125165002,0.0
20240128090002,3.51
20240128091002,5.07
20240128092002,8.62
20240128093002,14.37
20240128094002,18.9
20240128095002,14.94
20240128100002,12.13
20240128101002,15.8
20240128102002,18.58
20240128103002,21.86
20240128104002,17.1
20240128105002,15.83
20240128110002,25.56
20240128111002,25.65
20240128112002,21.2
20240128113002,22.55
20240128114002,28.76
20240128115002,35.81
20240128120002,63.84
20240128121002,58.56
20240128122002,50.81
20240128123002,45.7
20240128124002,34.37
20240128125002,30.28
20240128130002,25.43
20240128131002,20.48
20240128132002,18.33
20240128133002,18.29
20240128134002,21.45
20240128135002,23.66
20240128140002,20.65
20240128141002,12.16
20240128142002,13.43
20240128143002,13.17
20240128144002,10.79
20240128145002,9.78
20240128150002,9.4
20240128151002,7.3
20240128152002,10.24
20240128153002,7.65
20240128154002,4.45
20240128155002,2.53
20240128160002,0.01
20240128161002,0.0
20240128162002,0.0
20240128163002,0.0
20240128164002,0.0
20240128165002,0.0
20240213090002,435.15
20240213091002,399.53
20240213092002,452.24
20240213093002,740.26
20240213094002,1685.98
20240213095002,1718.82
20240213100002,1736.27
20240213101002,1833.45
20240213102002,1861.26
20240213103002,1885.72
20240213104002,1916.77
20240213105002,1945.11
20240213110002,1927.05
20240213111002,1974.42
20240213112002,2035.54
20240213113002,1862.6
20240213114002,2101.79
20240213115002,2092.79
20240213120002,2008.64
20240213121002,2005.77
20240213122002,2011.92
20240213123002,1141.25
20240213124002,1269.27
20240213125002,2097.29
20240213130002,1630.69
20240213131002,270.96
20240213132002,220.3
20240213133002,185.58
20240213134002,160.24
20240213135002,179.94
20240213140002,218.23
20240213141002,185.29
20240213142002,221.77
20240213143002,205.33
20240213144002,170.34
20240213145002,140.26
20240213150002,89.77
20240213151002,59.57
20240213152002,70.58
20240213153002,63.7
20240213154002,39.91
20240213155002,28.96
20240213160002,25.94
20240213161002,30.84
20240213162002,23.32
20240213163002,16.25
20240213164002,9.86
20240213165002,7.41
20240226090002,33.22
20240226091002,51.31
20240226092002,53.58
20240226093002,54.32
20240226094002,50.25
20240226095002,56.52
20240226100002,51.1
20240226101002,57.87
20240226102002,65.07
20240226103002,73.32
20240226104002,79.96
20240226105002,96.54
20240226110002,112.98
20240226111002,104.7
20240226112002,83.89
20240226113002,48.85
20240226114002,45.92
20240226115002,44.2
20240226120002,45.32
20240226121002,32.86
20240226122002,28.09
20240226123002,37.34
20240226124002,42.85
20240226125002,38.19
20240226130002,48.07
20240226131002,59.58
20240226132002,61.3
20240226133002,56.51
20240226134002,57.92
20240226135002,39.37
20240226140002,26.91
20240226141002,19.22
20240226142002,21.38
20240226143002,22.07
20240226144002,19.26
20240226145002,15.29
20240226150002,12.76
20240226151002,12.08
20240226152002,10.83
20240226153002,10.37
20240226154002,8.68
20240226155002,7.99
20240226160002,5.2
20240226161002,5.14
20240226162002,2.17
20240226163002,0.51
20240226164002,0.02
20240226165002,0.0
20240319090002,12.6
20240319091002,9.75
20240319092002,11.66
20240319093002,10.19
20240319094002,10.99
20240319095002,20.66
20240319100002,26.69
20240319101002,20.39
20240319102002,20.32
20240319103002,18.56
20240319104002,20.74
20240319105002,20.62
20240319110002,30.31
20240319111002,31.92
20240319112002,41.45
20240319113002,37.04
20240319114002,34.51
20240319115002,24.71
20240319120002,22.37
20240319121002,45.32
20240319122002,36.39
20240319123002,31.01
20240319124002,29.62
20240319125002,30.43
20240319130002,30.29
20240319131002,24.84
20240319132002,18.91
20240319133002,17.59
20240319134002,15.45
20240319135002,16.89
20240319140002,14.31
20240319141002,11.08
20240319142002,16.09
20240319143002,11.79
20240319144002,10.91
20240319145002,12.17
20240319150002,16.39
20240319151002,15.25
20240319152002,25.14
20240319153002,14.5
20240319154002,7.92
20240319155002,3.77
20240319160002,3.18
20240319161002,0.36
20240319162002,0.26
20240319163002,0.52
20240319164002,0.35
20240319165002,0.12
20240427090002,105.76
20240427091002,68.18
20240427092002,53.16
20240427093002,60.7
20240427094002,73.71
20240427095002,82.16
20240427100002,76.66
20240427101002,84.19
20240427102002,128.74
20240427103002,177.31
20240427104002,175.71
20240427105002,169.44
20240427110002,161.93
20240427111002,155.83
20240427112002,130.86
20240427113002,125.6
20240427114002,106.12
20240427115002,89.1
20240427120002,101.61
20240427121002,145.48
20240427122002,142.29
20240427123002,122.21
20240427124002,91.36
20240427125002,91.21
20240427130002,199.99
20240427131002,203.64
20240427132002,107.68
20240427133002,244.16
20240427134002,553.9
20240427135002,374.54
20240427140002,289.69
20240427141002,272.49
20240427142002,209.62
20240427143002,147.38
20240427144002,179.92
20240427145002,157.23
20240427150002,315.81
20240427151002,210.69
20240427152002,119.36
20240427153002,81.5
20240427154002,67.97
20240427155002,80.38
20240427160002,95.09
20240427161002,103.0
20240427162002,49.9
20240427163002,17.9
20240427164002,46.67
20240427165002,34.89
20240508090002,272.96
20240508091002,141.33
20240508092002,137.11
20240508093002,145.36
20240508094002,132.95
20240508095002,130.31
20240508100002,109.0
20240508101002,146.42
20240508102002,102.49
20240508103002,60.74
20240508104002,25.62
20240508105002,35.55
20240508110002,39.22
20240508111002,31.43
20240508112002,72.57
20240508113002,74.56
20240508114002,86.88
20240508115002,118.17
20240508120002,192.99
20240508121002,147.55
20240508122002,282.02
20240508123002,86.35
20240508124002,33.1
20240508125002,19.36
20240508130002,10.77
20240508131002,10.01
20240508132002,4.99
20240508133002,2.63
20240508134002,9.0
20240508135002,13.29
20240508140002,22.87
20240508141002,50.49
20240508142002,84.11
20240508143002,31.9
20240508144002,12.98
20240508145002,10.73
20240508150002,3.67
20240508151002,3.24
20240508152002,3.35
20240508153002,0.04
20240508154002,0.0
20240508155002,0.0
20240508160002,0.0
20240508161002,0.0
20240508162002,0.0
20240508163002,0.0
20240508164002,0.0
20240508165002,0.0
20240705090002,682.9
20240705091002,756.99
20240705092002,816.95
20240705093002,870.46
20240705094002,912.7
20240705095002,972.52
20240705100002,956.96
20240705101002,1014.85
20240705102002,1074.29
20240705103002,1120.26
20240705104002,1091.6
20240705105002,191.77
20240705110002,657.16
20240705111002,56.81
20240705112002,186.87
20240705113002,1158.91
20240705114002,1253.18
20240705115002,1239.05
20240705120002,1160.42
20240705121002,1028.72
20240705122002,1167.49
20240705123002,1142.73
20240705124002,1094.5
20240705125002,1053.45
20240705130002,1028.08
20240705131002,982.28
20240705132002,942.82
20240705133002,904.28
20240705134002,847.41
20240705135002,803.38
20240705140002,743.11
20240705141002,735.94
20240705142002,720.09
20240705143002,486.26
20240705144002,577.75
20240705145002,235.23
20240705150002,249.43
20240705151002,270.09
20240705152002,231.11
20240705153002,183.03
20240705154002,23.17
20240705155002,16.63
20240705160002,37.07
20240705161002,20.44
20240705162002,31.74
20240705163002,17.32
20240705164002,8.19
20240705165002,8.44
20240707090002,632.48
20240707091002,686.1
20240707092002,749.24
20240707093002,801.83
20240707094002,846.61
20240707095002,911.6
20240707100002,956.11
20240707101002,1007.19
20240707102002,1068.02
20240707103002,973.07
20240707104002,1134.66
20240707105002,1067.14
20240707110002,688.97
20240707111002,1100.88
20240707112002,1238.38
20240707113002,1241.51
20240707114002,1235.41
20240707115002,1229.47
20240707120002,1221.67
20240707121002,1197.03
20240707122002,1206.39
20240707123002,1173.72
20240707124002,1151.31
20240707125002,1122.04
20240707130002,1069.39
20240707131002,1015.91
20240707132002,971.17
20240707133002,934.71
20240707134002,890.99
20240707135002,840.95
20240707140002,747.8
20240707141002,708.94
20240707142002,607.43
20240707143002,573.22
20240707144002,543.53
20240707145002,553.79
20240707150002,527.27
20240707151002,449.65
20240707152002,152.87
20240707153002,77.78
20240707154002,35.73
20240707155002,128.48
20240707160002,34.87
20240707161002,64.97
20240707162002,22.51
20240707163002,28.44
20240707164002,1.32
20240707165002,0.32
20240317090003,1155.92
20240317091003,1231.48
20240317092003,1380.82
20240317093003,1526.15
20240317094003,1592.28
20240317095003,1640.44
20240317100003,1657.39
20240317101003,1650.94
20240317102003,1672.88
20240317103003,1712.4
20240317104003,1743.52
20240317105003,1796.88
20240317110003,1927.21
20240317111003,1930.21
20240317112003,1636.81
20240317113003,1343.73
20240317114003,1447.03
20240317115003,650.41
20240317120003,1105.14
20240317121003,556.12
20240317122003,290.4
20240317123003,242.21
20240317124003,323.39
20240317125003,266.61
20240317130003,133.84
20240317131003,139.28
20240317132003,165.1
20240317133003,147.93
20240317134003,223.06
20240317135003,338.82
20240317140003,206.12
20240317141003,168.19
20240317142003,119.97
20240317143003,86.49
20240317144003,83.15
20240317145003,41.66
20240317150003,27.37
20240317151003,18.24
20240317152003,14.33
20240317153003,15.95
20240317154003,25.4
20240317155003,34.41
20240317160003,23.6
20240317161003,22.52
20240317162003,21.3
20240317163003,15.42
20240317164003,8.2
20240317165003,5.49
20240414090003,810.83
20240414091003,899.35
20240414092003,871.84
20240414093003,1140.33
20240414094003,1246.81
20240414095003,1362.63
20240414100003,1350.13
20240414101003,1426.2
20240414102003,1416.95
20240414103003,1633.77
20240414104003,1632.78
20240414105003,1612.88
20240414110003,1728.69
20240414111003,1713.6
20240414112003,1668.62
20240414113003,1723.1
20240414114003,1542.85
20240414115003,1599.19
20240414120003,1431.62
20240414121003,448.75
20240414122003,490.12
20240414123003,1038.16
20240414124003,876.41
20240414125003,474.18
20240414130003,1069.5
20240414131003,1250.48
20240414132003,944.44
20240414133003,778.61
20240414134003,1083.7
20240414135003,1359.18
20240414140003,1095.89
20240414141003,712.42
20240414142003,308.98
20240414143003,248.62
20240414144003,437.1
20240414145003,655.66
20240414150003,451.79
20240414151003,288.88
20240414152003,303.06
20240414153003,151.71
20240414154003,125.1
20240414155003,134.09
20240414160003,170.86
20240414161003,202.03
20240414162003,188.44
20240414163003,152.25
20240414164003,94.91
20240414165003,91.95
20240524090003,77.73
20240524091003,126.08
20240524092003,210.06
20240524093003,192.65
20240524094003,232.04
20240524095003,522.51
20240524100003,189.78
20240524101003,114.95
20240524102003,279.17
20240524103003,251.01
20240524104003,209.16
20240524105003,202.56
20240524110003,224.11
20240524111003,164.57
20240524112003,369.46
20240524113003,629.46
20240524114003,403.91
20240524115003,168.93
20240524120003,177.4
20240524121003,239.88
20240524122003,381.52
20240524123003,343.24
20240524124003,499.39
20240524125003,766.71
20240524130003,1023.05
20240524131003,744.35
20240524132003,558.21
20240524133003,308.61
20240524134003,234.74
20240524135003,131.03
20240524140003,71.34
20240524141003,40.01
20240524142003,38.3
20240524143003,25.51
20240524144003,8.06
20240524145003,5.69
20240524150003,8.92
20240524151003,4.66
20240524152003,5.69
20240524153003,3.7
20240524154003,2.32
20240524155003,0.87
20240524160003,0.67
20240524161003,1.2
20240524162003,0.22
20240524163003,0.57
20240524164003,0.54
20240524165003,3.13
20240526090003,109.99
20240526091003,179.37
20240526092003,369.66
20240526093003,684.14
20240526094003,751.67
20240526095003,946.29
20240526100003,902.16
20240526101003,647.56
20240526102003,283.45
20240526103003,191.23
20240526104003,150.0
20240526105003,149.26
20240526110003,122.46
20240526111003,164.46
20240526112003,195.42
20240526113003,233.08
20240526114003,219.77
20240526115003,214.18
20240526120003,272.17
20240526121003,286.4
20240526122003,263.78
20240526123003,226.22
20240526124003,204.4
20240526125003,174.52
20240526130003,148.26
20240526131003,126.41
20240526132003,103.38
20240526133003,91.35
20240526134003,88.96
20240526135003,94.44
20240526140003,118.96
20240526141003,134.29
20240526142003,121.7
20240526143003,124.08
20240526144003,118.55
20240526145003,111.19
20240526150003,70.34
20240526151003,50.55
20240526152003,49.48
20240526153003,43.39
20240526154003,51.93
20240526155003,57.77
20240526160003,45.27
20240526161003,38.39
20240526162003,34.92
20240526163003,31.36
20240526164003,26.24
20240526165003,23.09
20240603090003,56.63
20240603091003,60.0
20240603092003,88.15
20240603093003,114.73
20240603094003,61.0
20240603095003,86.43
20240603100003,87.17
20240603101003,51.75
20240603102003,75.43
20240603103003,107.49
20240603104003,179.13
20240603105003,226.57
20240603110003,72.53
20240603111003,75.26
20240603112003,38.14
20240603113003,44.76
20240603114003,76.9
20240603115003,123.82
20240603120003,162.01
20240603121003,142.76
20240603122003,351.68
20240603123003,138.18
20240603124003,100.56
20240603125003,188.26
20240603130003,150.22
20240603131003,193.27
20240603132003,158.74
20240603133003,162.05
20240603134003,65.79
20240603135003,55.11
20240603140003,102.93
20240603141003,72.82
20240603142003,153.28
20240603143003,85.39
20240603144003,50.0
20240603145003,31.78
20240603150003,8.73
20240603151003,8.62
20240603152003,7.05
20240603153003,4.3
20240603154003,0.67
20240603155003,0.0
20240603160003,0.0
20240603161003,0.0
20240603162003,0.27
20240603163003,0.7
20240603164003,0.41
20240603165003,0.0
20240620090003,1150.73
20240620091003,1241.4
20240620092003,502.75
20240620093003,1408.68
20240620094003,1213.38
20240620095003,1130.01
20240620100003,1093.21
20240620101003,1251.49
20240620102003,1136.83
20240620103003,477.34
20240620104003,136.78
20240620105003,297.81
20240620110003,1235.05
20240620111003,1601.89
20240620112003,1589.42
20240620113003,1532.73
20240620114003,1541.77
20240620115003,1531.14
20240620120003,1538.08
20240620121003,1541.42
20240620122003,1538.36
20240620123003,1528.12
20240620124003,1507.7
20240620125003,1495.74
20240620130003,1470.46
20240620131003,1425.49
20240620132003,1427.0
20240620133003,1019.78
20240620134003,908.31
20240620135003,1074.16
